"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2023年06月20日"

"","","","","/項目 コード","A1102","","A1407",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A1407_0～17歳人口【人】","注釈"
"2020100000","2020年度","07205","福島県 白河市","","58,275","","8,781",""
"2020100000","2020年度","07207","福島県 須賀川市","","73,901","","11,834",""
"2020100000","2020年度","07208","福島県 喜多方市","","44,542","","6,114",""
"2020100000","2020年度","07209","福島県 相馬市","","34,349","","5,184",""
"2020100000","2020年度","07210","福島県 二本松市","","53,129","","7,218",""
"2020100000","2020年度","07211","福島県 田村市","","34,719","","4,567",""
"2020100000","2020年度","07212","福島県 南相馬市","","57,406","","6,369",""
"2020100000","2020年度","07213","福島県 伊達市","","57,779","","7,605",""
"2020100000","2020年度","07214","福島県 本宮市","","30,050","","4,787",""
"2020100000","2020年度","07301","福島県 桑折町","","11,413","","1,511",""
"2020100000","2020年度","07303","福島県 国見町","","8,580","","959",""
